Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2008,Calvin Dawson,La-Monroe,RB,68.5,199,,,,,,,,,,,735,5.1,0.045,8.1,0,0
2008,Kalvin McRae,Ohio,RB,69.125,203,9.75,30.88,,4.76,,25.5,109,,,,987,4.9,0.05,9.8,0.048,0
2008,Rafael Little,Kentucky,RB,68.75,194,,,,,8,,,,,,711,5.2,0.028,10.1,0.031,0
2008,Yvenson Bernard,Oregon St.,RB,68.375,204,9.75,29.25,,4.87,,29.5,112,4.73,7.22,12.18,994,4.4,0.043,6.7,0.025,0
2008,Allen Patrick,Oklahoma,RB,72.75,198,,,,,,,,,,,381,5.2,0.038,4.6,0.071,0
2008,Chauncey Washington,USC,RB,71.375,211,,,,,,,,,,,388,4.8,0.051,9.3,0.118,0
2008,Cory Boyd,South Carolina,RB,72.5,213,9.38,31.5,,4.56,25,33.5,118,4.24,6.97,12.08,581,4.9,0.05,11.1,0.043,0
2008,Jalen Parmele,Toledo,RB,71.5,224,8.88,32.25,,4.55,19,34,125,4.29,6.96,,630,5.3,0.048,8.5,0.024,0
2008,Marcus Thomas,Texas-El Paso,RB,72.25,213,8.38,32.63,,4.62,21,30,116,,,,663,4.6,0.046,10.2,0.064,0
2008,Thomas Brown,Georgia,RB,68.38,204,10,31,,4.56,25,36,128,,7.17,,568,5,0.043,9.5,0.051,0
2008,Xavier Omon,NW Missouri St.,RB,70.75,228,9.38,31.75,,4.62,17,31,112,,,,0,,,,,0
2009,Arian Foster,Tennessee,RB,72.75,226,,,,4.68,23,,,,,,733,4.6,0.035,8.9,0.024,46
2009,LeSean McCoy,Pittsburgh,RB,70.375,198,,,,,,,,,,,649,4.8,0.06,8.4,0.015,39
